pk,id,name,level,status,macroareas
9491,mann1245,Manna-Dora,dialect,nearly extinct,Eurasia
9492,vish1244,Vishakhapatnam,dialect,Unknown,Eurasia
9493,komt1238,Komtao,dialect,Unknown,Eurasia
9494,sale1243,Salewari,dialect,Unknown,Eurasia
9495,yana1267,Yanadi,dialect,Unknown,Eurasia
9496,gunt1240,Guntur,dialect,Unknown,Eurasia
9497,tela1240,Telangana,dialect,Unknown,Eurasia
9498,raya1237,Rayalseema,dialect,Unknown,Eurasia
9499,srik1237,Srikakula,dialect,Unknown,Eurasia
9500,east2338,East Godaweri,dialect,Unknown,Eurasia
9501,vada1239,Vadari,dialect,Unknown,Eurasia
9502,gola1244,Golari,dialect,Unknown,Eurasia
9503,bera1250,Berad,dialect,Unknown,Eurasia
9504,domm1245,Dommara,dialect,Unknown,Eurasia
9505,kama1355,Kamathi,dialect,Unknown,Eurasia
9506,nell1237,Nellore,dialect,Unknown,Eurasia
9507,vada1240,Vadaga,dialect,Unknown,Eurasia
9508,dasa1237,Dasaru,dialect,Unknown,Eurasia
9509,mand1412,Manda-Pengo,family,Unknown,Eurasia
9510,kuik1244,Kui-Kuvi,family,Unknown,Eurasia
9511,kubi1237,Kubi (India),dialect,Unknown,Eurasia
9512,nucl1306,Nuclear Konda-Dora,dialect,Unknown,Eurasia
9513,hira1245,Hiranpur,dialect,Unknown,Eurasia
9514,godd1237,Godda,dialect,Unknown,Eurasia
9515,sahi1237,Sahibganj,dialect,Unknown,Eurasia
9516,liti1240,Litipara,dialect,Unknown,Eurasia
9517,orao1238,Oraon,dialect,Unknown,Eurasia
9518,oute1262,Outer Barwe,dialect,Unknown,Eurasia
9519,inne1245,Inner Barwe,dialect,Unknown,Eurasia
9520,kisa1261,Kisan (Dravidian),dialect,not endangered,Eurasia
9521,nawa1260,Nawagarh,dialect,Unknown,Eurasia
9522,ngkr1235,Ngkrnc of Rawa Biru,dialect,Unknown,Papunesia
9523,bark1251,Barkali,dialect,Unknown,Papunesia
9524,ngkr1238,Ngkrnc of Tomerau,dialect,Unknown,Papunesia
9525,wara1295,Wára,dialect,Unknown,Papunesia
9526,komn1238,Kómnjo,dialect,Unknown,Papunesia
9527,kama1361,Kémä,dialect,Unknown,Papunesia
9528,were1243,Wèré,dialect,Unknown,Papunesia
9529,anta1254,Anta,dialect,Unknown,Papunesia
9530,honi1246,Hōnichi,dialect,Unknown,Eurasia
9531,hich1237,Hichiku,dialect,Unknown,Eurasia
9532,sats1241,Satsugū,dialect,Unknown,Eurasia
9533,toka1245,Tōkai-Tōsan,dialect,Unknown,Eurasia
9534,toho1244,Tōhoku,dialect,Unknown,Eurasia
9535,hokk1249,Hokkaidō,dialect,Unknown,Eurasia
9536,kant1251,Kantō,dialect,Unknown,Eurasia
9537,hoku1242,Hokuriku,dialect,Unknown,Eurasia
9538,shik1243,Shikoku,dialect,Unknown,Eurasia
9539,chug1253,Chūgoku,dialect,Unknown,Eurasia
9540,umpa1238,Umpaku,dialect,Unknown,Eurasia
9541,kink1238,Kinki,dialect,Unknown,Eurasia
9542,shir1262,Shiraho,dialect,Unknown,Eurasia
9543,koha1246,Kohama,dialect,Unknown,Eurasia
9544,hato1238,Hatoma,dialect,Unknown,Eurasia
9545,take1256,Taketomi,dialect,Unknown,Eurasia
9546,sona1243,Sonai,dialect,Unknown,Eurasia
9547,kabi1263,Kabira,dialect,Unknown,Eurasia
9548,hate1238,Hateruma,dialect,Unknown,Eurasia
9549,ishi1240,Ishigaki,dialect,Unknown,Eurasia
9550,kuro1243,Kuroshima,dialect,Unknown,Eurasia
9551,ikem1235,Ikema-Jima,dialect,Unknown,Eurasia
9552,irab1238,Irabu-Jima,dialect,Unknown,Eurasia
9553,miya1260,Miyako-Jima,dialect,Unknown,Eurasia
9554,ogam1239,Ogami,dialect,Unknown,Eurasia
9555,kuri1272,Kurima,dialect,Unknown,Eurasia
9556,onot1238,Onotsu,dialect,Unknown,Eurasia
9557,oshi1235,Oshima,family,Unknown,Eurasia
9558,okin1245,Okinoerabu-Tokunoshima,family,Unknown,Eurasia
9559,nago1243,Nago,dialect,Unknown,Eurasia
9560,kuda1249,Kudaka,dialect,Unknown,Eurasia
9561,tori1242,Torishima,dialect,Unknown,Eurasia
9562,naha1264,Naha,dialect,Unknown,Eurasia
9563,shur1243,Shuri,dialect,Unknown,Eurasia
9564,sout3268,Southern Seto,dialect,Unknown,Eurasia
9565,nort3285,Northern Seto,dialect,Unknown,Eurasia
9566,east2808,Eastern Seto,dialect,Unknown,Eurasia
9567,esto1258,Estonian,language,not endangered,Eurasia
9568,voti1245,Votic,language,nearly extinct,Eurasia
9569,nucl1717,Nuclear Finnish,family,Unknown,Eurasia
9570,lado1234,Ladogan,family,Unknown,Eurasia
9571,yoka1242,Yokan,dialect,Unknown,Eurasia
9572,noto1238,Notozer,dialect,Unknown,Eurasia
9573,torn1243,Torne Saami,dialect,Unknown,Eurasia
9574,finn1320,Finnmárku Saami,dialect,Unknown,Eurasia
9575,seal1238,Sea Lappish,dialect,Unknown,Eurasia
9576,fore1266,Pur Nenets,dialect,Unknown,Eurasia
9577,lyam1234,Lyamin Nenets,dialect,Unknown,Eurasia
9578,nady1234,Nadym Nenets,dialect,Unknown,Eurasia
9579,agan1235,Agan Nenets,dialect,Unknown,Eurasia
9580,cent2335,Central Tundra Nenets,dialect,Unknown,Eurasia
9581,tund1255,Eastern Tundra Nenets,dialect,Unknown,Eurasia
9582,west2884,Western Tundra Nenets,dialect,Unknown,Eurasia
9583,sout3262,Southern Selkup,dialect,Unknown,Eurasia
9584,kety1235,Kety-Central Selkup,dialect,Unknown,Eurasia
9585,kawa1292,Kawahiwa Setentrionais,family,Unknown,South America
9586,kawa1293,Kawahiwa Meridionais,family,Unknown,South America
9587,waya1271,Wayampi-Zoe-Emerillon,family,Unknown,South America
9588,guaj1258,Guaja-Kaapor-Ava,family,Unknown,South America
9589,tupi1287,Tupi-Guarani Subgroup III,family,Unknown,South America
9590,tupi1278,Tupi-Guarani Subgroup II,family,Unknown,South America
9591,tupi1277,Tupi-Guarani Subgroup I,family,Unknown,South America
9592,araw1290,Arawetic,family,Unknown,South America
9593,xing1248,Xingú Asuriní,language,shifting,South America
9594,tapi1254,Tapirapé,language,shifting,South America
9595,tupi1285,Tupi-Guarani Subgroup IV.B,family,Unknown,South America
9596,tupi1284,Tupi-Guarani Subgroup IV.A,family,Unknown,South America
9597,arua1262,Aruáshi,dialect,Unknown,South America
9598,zoro1244,Zoró,dialect,Unknown,South America
9599,gavi1247,Gavião,dialect,Unknown,South America
9600,heib1243,Ebang,language,threatened,Africa
9601,laro1243,Laru (North Sudan),language,threatened,Africa
9602,dogo1297,Dogoridi,dialect,Unknown,Africa
9603,doro1263,Dorobe,dialect,Unknown,Africa
9604,dukw1238,Dukwara,dialect,Unknown,Africa
9605,dugu1250,Dugujur,dialect,Unknown,Africa
9606,uppe1468,Upper Orange River Korana,dialect,Unknown,Africa
9607,gysi1234,Gysiqua,dialect,Unknown,Africa
9608,kora1299,Kora,dialect,Unknown,Africa
9609,eini1234,Eini,dialect,Unknown,Africa
9610,cent2051,Central Damara,dialect,Unknown,Africa
9611,nami1255,Namidama,dialect,Unknown,Africa
9612,dama1270,Damara,dialect,Unknown,Africa
