pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
960,aran1266,Arandic-Thura-Yura,,,,269.0,269.0,family,7,16,10,Australia,
961,yuul1239,Yuulngu,,,,269.0,269.0,family,6,10,34,Australia,
962,macl1239,Macleay-New England,,,,269.0,269.0,family,0,2,0,Australia,
963,dese1234,Desert Nyungic,,,,269.0,269.0,family,14,24,27,Australia,
964,gana1279,Ganaic,,,4.0,269.0,269.0,family,0,2,0,Australia,
965,sout3134,South-West Pama-Nyungan,,,,269.0,269.0,family,15,29,13,Australia,
966,karn1253,Karnic,,,,269.0,269.0,family,10,14,17,Australia,
967,grea1282,Greater Maric,,,,269.0,269.0,family,11,21,0,Australia,
968,yarl1237,Yarli-Baagandji,,,,269.0,269.0,family,0,2,6,Australia,
969,kala1377,Kala Lagaw Ya,-10.6748,142.196,957.0,269.0,269.0,language,0,0,1,Australia,shifting
970,nyaw1248,Nyawaygic,,,,269.0,269.0,family,0,3,0,Australia,
971,east2770,East Queensland Border Pama Nyungan,,,,269.0,269.0,family,2,4,2,Australia,
972,unun9964,Unclassified Pama-Nyungan,,,,269.0,269.0,family,0,1,0,Australia,
973,galg1238,Kalkatungic,,,,269.0,269.0,family,0,2,0,Australia,
974,rock1234,Rockhampton-Gladstone,,,,269.0,269.0,family,0,2,0,Australia,
975,ngar1290,Ngarna,,,,269.0,269.0,family,3,5,0,Australia,
976,dyir1250,Dyirbal,-17.4516,145.54399999999995,8.0,269.0,269.0,language,0,0,5,Australia,moribund
977,warr1255,Warrgamay,-18.5468,146.179,,269.0,269.0,language,0,0,0,Australia,extinct
978,pama1251,Paman,,,,269.0,269.0,family,35,62,20,Australia,
979,furr1244,Fur,12.0455,23.6401,11000000.0,270.0,270.0,language,0,0,0,Africa,not endangered
980,amda1238,Amdang,14.7528,20.8912,213000.0,270.0,270.0,language,0,0,0,Africa,shifting
981,iris1254,Irish-English,,,,271.0,271.0,family,0,1,0,Eurasia,
982,indo1335,Indo-European Speech Register,,,,271.0,271.0,family,0,4,0,"Africa, Eurasia, Papunesia",
983,zulu1249,Zulu-Sotho,,,,271.0,271.0,family,0,1,0,Africa,
984,basq1267,Basque-Romani,,,,271.0,271.0,family,0,1,0,Eurasia,
985,atla1282,Atlantic-Congo Speech Register,,,,271.0,271.0,family,0,3,0,Africa,
